Episode 434 finished after 106 timesteps, total reward: 106.0
Episode 435 finished after 115 timesteps, total reward: 115.0
Episode 436 finished after 110 timesteps, total reward: 110.0
Episode 437 finished after 99 timesteps, total reward: 99.0
Episode 438 finished after 106 timesteps, total reward: 106.0
Episode 439 finished after 105 timesteps, total reward: 105.0
Episode 440 finished after 132 timesteps, total reward: 132.0
Episode 441 finished after 109 timesteps, total reward: 109.0
Episode 442 finished after 98 timesteps, total reward: 98.0
Episode 443 finished after 117 timesteps, total reward: 117.0
Episode 444 finished after 117 timesteps, total reward: 117.0
Episode 445 finished after 98 timesteps, total reward: 98.0
Episode 446 finished after 119 timesteps, total reward: 119.0
Episode 447 finished after 97 timesteps, total reward: 97.0
Episode 448 finished after 107 timesteps, total reward: 107.0
Episode 449 finished after 107 timesteps, total reward: 107.0
Episode 450 finished after 99 timesteps, total reward: 99.0
Episode 451 finished after 117 timesteps, total reward: 117.0
Episode 452 finished after 99 timesteps, total reward: 99.0
Episode 453 finished after 119 timesteps, total reward: 119.0
Episode 454 finished after 106 timesteps, total reward: 106.0
Episode 455 finished after 112 timesteps, total reward: 112.0
Episode 456 finished after 107 timesteps, total reward: 107.0
Episode 457 finished after 116 timesteps, total reward: 116.0
Episode 458 finished after 99 timesteps, total reward: 99.0
Episode 459 finished after 106 timesteps, total reward: 106.0
Episode 460 finished after 104 timesteps, total reward: 104.0
Episode 461 finished after 92 timesteps, total reward: 92.0
Episode 462 finished after 109 timesteps, total reward: 109.0
Episode 463 finished after 108 timesteps, total reward: 108.0
Episode 464 finished after 112 timesteps, total reward: 112.0
Episode 465 finished after 124 timesteps, total reward: 124.0
Episode 466 finished after 107 timesteps, total reward: 107.0
Episode 467 finished after 124 timesteps, total reward: 124.0
Episode 468 finished after 96 timesteps, total reward: 96.0
Episode 469 finished after 104 timesteps, total reward: 104.0
Episode 470 finished after 111 timesteps, total reward: 111.0
Episode 471 finished after 111 timesteps, total reward: 111.0
Episode 472 finished after 112 timesteps, total reward: 112.0
Episode 473 finished after 96 timesteps, total reward: 96.0
Episode 474 finished after 108 timesteps, total reward: 108.0
Episode 475 finished after 100 timesteps, total reward: 100.0
